# ÅTGÄRDSPLAN FÖR TEAM-FUNKTIONALITETEN

## ÖVERSIKT

Denna åtgärdsplan baseras på kodgranskningen i `teams_audit.txt` och innehåller konkreta uppgifter för att förbättra team-funktionaliteten i Pling-appen. Uppgifterna är organiserade efter prioritet och uppskattad tidsåtgång.

## STATUSUPPDATERING (2024-04-30)

### Slutförda uppgifter:
- ✅ Databasprestanda med index (P1-06, P1-07, P1-08)
- ✅ Tillägg av nya kolumner i team_messages (P4-01, P4-02, P4-03)
- ✅ Implementation av JSON-schema validering för team settings
- ✅ Standardiserad felhantering i teamService (P1-09, P1-10, P1-11, P1-12, P1-13, P1-14)
  - Implementerat TeamServiceResponse typ
  - Skapat handleServiceError hjälpfunktion
  - Uppdaterat alla teamService funktioner med ny felhantering
- ✅ Korrigering av propnamnsfel i komponenter (P1-01 till P1-05)
  - PendingApprovalCard: icon → Icon
  - PendingMembershipCard: icon → Icon
  - PendingInviteCard: icon → Icon
  - TeamList: Ingen åtgärd krävdes (använder inte Button)
  - Övriga komponenter: title → children i TeamSettings, InviteCodeModal och AddMemberModal
- ✅ Uppdatering av queries för nya kolumner (P4-04)
  - Uppdaterat databasstruktur med mentions (jsonb), attachments (text[]) och message_type (text)
  - Uppdaterat SELECT, INSERT och realtime subscriptions i chat.tsx
  - Lagt till stöd för olika meddelandetyper (text, image, file)
  - Implementerat visning av mentions och attachments i chattgränssnittet
- ✅ Uppdelning av team/index.tsx i mindre komponenter (P2-01 till P2-06)
  - Skapat TeamHeader för navigering och teamval
  - Skapat TeamActions för teamrelaterade åtgärder
  - Skapat TeamMembers för medlemshantering och inställningar
  - Skapat TeamLoadingState för laddningstillstånd
  - Refaktoriserat team/index.tsx att använda nya komponenter
  - Överfört state och logik till respektive komponent
- ✅ Implementera React Query konsekvent (P2-07 till P2-10)
  - Skapat useTeamQueries hook för att hantera alla team-relaterade queries
  - Implementerat React Query i TeamScreen
  - Skapat förbättrad hantering av laddningstillstånd med React Query
  - Implementerat felhantering med React Query
  - Skapat optimistiska uppdateringar för bättre användarupplevelse
- ✅ Förbättra typhantering (P2-11 till P2-14)
  - Refaktoriserat 'any'-typer i teamService
  - Skapat centrala typ-exporter
  - Förbättrat typning i TeamMemberList-komponenten
  - Implementerat diskriminerande union-typer för tillstånd
- ✅ Förbättra kodsökning i TeamMemberList (P3-01 till P3-02)
  - Skapat gemensam MemberItem-komponent för att hantera medlemsvisning
  - Refaktoriserat TeamMemberList, PendingApprovalCard, PendingMembershipCard, PendingInviteCard

### Nästa steg:
1. Fortsätt konsolidera duplicerad kod i TeamMemberList (P3-03 till P3-04):
   - Ta bort dubblerad kod i TeamMemberList
   - Förbättra typning med diskriminerande unions

---

## PRIORITET 1: AKUTA PROBLEM (1-2 ARBETSDAGAR)

### 1.1 Korrigera propnamnsfel `icon` till `Icon` i komponenter

| Task ID | Beskrivning | Uppskattad tid | Status | Berörda filer |
|---------|-------------|----------------|--------|---------------|
| P1-01 | Korrigera `icon` till `Icon` i PendingApprovalCard | 15 min | ✅ Klar | components/team/PendingApprovalCard.tsx |
| P1-02 | Korrigera `icon` till `Icon` i PendingMembershipCard | 15 min | ✅ Klar | components/team/PendingMembershipCard.tsx |
| P1-03 | Korrigera `icon` till `Icon` i PendingInviteCard | 15 min | ✅ Klar | components/team/PendingInviteCard.tsx |
| P1-04 | Korrigera `icon` till `Icon` i TeamList | 15 min | ✅ Klar (N/A) | components/team/TeamList.tsx |
| P1-05 | Korrigera andra komponenter som använder Button | 30 min | ✅ Klar | Övriga filer |

### 1.2 Databasprestanda med index

| Task ID | Beskrivning | Uppskattad tid | Status | Berörda filer |
|---------|-------------|----------------|--------|---------------|
| P1-06 | Skapa index för `user_id` i `team_members` | 20 min | ✅ Klar | DB-migrering |
| P1-07 | Skapa index för `team_id` i `team_members` | 20 min | ✅ Klar | DB-migrering |
| P1-08 | Skapa index för `team_id` i `team_messages` | 20 min | ✅ Klar | DB-migrering |

### 1.3 Standardisera felhantering i teamService

| Task ID | Beskrivning | Uppskattad tid | Status | Berörda filer |
|---------|-------------|----------------|--------|---------------|
| P1-09 | Skapa hjälpfunktion för felhantering | 30 min | ✅ Klar | services/teamService.ts |
| P1-10 | Implementera standardiserad felhantering i `createTeam` | 15 min | ✅ Klar | services/teamService.ts |
| P1-11 | Implementera standardiserad felhantering i `getTeam` | 15 min | ✅ Klar | services/teamService.ts |
| P1-12 | Implementera standardiserad felhantering i `updateTeam` | 15 min | ✅ Klar | services/teamService.ts |
| P1-13 | Implementera standardiserad felhantering i `getUserTeams` | 15 min | ✅ Klar | services/teamService.ts |
| P1-14 | Implementera standardiserad felhantering i övriga funktioner | 1 timme | ✅ Klar | services/teamService.ts |

**Totalt: ~1.5 timmar**

---

## PRIORITET 2: VIKTIGA FÖRBÄTTRINGAR (3-5 ARBETSDAGAR)

### 2.1 Dela upp team/index.tsx i mindre komponenter

| Task ID | Beskrivning | Uppskattad tid | Status | Berörda filer |
|---------|-------------|----------------|--------|---------------|
| P2-01 | Skapa TeamHeader-komponent | 2 timmar | ✅ Klar | app/(tabs)/team/components/TeamHeader.tsx |
| P2-02 | Skapa TeamActions-komponent | 2 timmar | ✅ Klar | app/(tabs)/team/components/TeamActions.tsx |
| P2-03 | Skapa TeamMembers-komponent | 3 timmar | ✅ Klar | app/(tabs)/team/components/TeamMembers.tsx |
| P2-04 | Skapa TeamSettings-container | 2 timmar | ✅ Klar | app/(tabs)/team/components/TeamSettingsContainer.tsx |
| P2-05 | Refaktorisera team/index.tsx att använda nya komponenter | 3 timmar | ✅ Klar | app/(tabs)/team/index.tsx |
| P2-06 | Överföra state och logik till respektive komponent | 3 timmar | ✅ Klar | Alla komponenterna |

**Totalt: ~15 timmar**

### 2.2 Implementera React Query konsekvent

